headline,text
2024 is going to smash heat records,"Global temperatures soared in 2024, likely cruising past a key threshold."
Amazon says it ditched plastic air pillows,Amazon says it has gotten rid of plastic air pillows at warehouses around the world.
Apple receives EU warning to end ‘discriminatory’ geo-blocking practices,The European Union has accused Apple of unlawfully applying geo-blocking measures that discriminate against EU customers and violate consumer protection rules.
Meta brings back face scanning to combat scams and account hacking,Facebook and Instagram are testing new facial recognition tools that could help users quickly restore compromised accounts and combat fake celebrity-endorsed scams.
This pocket-friendly e-reader also wants to be your minimalist phone,The Mudita Kompakt is a compact phone and e-reader with an E Ink screen and a custom version of Android designed to limit distractions.
Ford won’t be making any new F-150 Lightnings until next year,Ford is pausing production of its F-150 Lightning electric truck until next year as it reacts to slower sales. The company will reopen the plant in January 2025.
Archer Aviation gets another big order for its futuristic air taxis,Archer struck a deal with Japan’s Soracle to sell 100 of its Midnight electric vertical takeoff and landing aircraft in a deal valued at $500 million.
Heart and Soul: How the war in Gaza helped me find God,"Vanessa’s Fridays saw her dancing the night away in the night clubs of Liverpool, having drinks with friends, sometimes staying out all night. But now Fridays are times of prayer with new friends at the mosque. She took her vows – shahada – to become a Muslim…"
How the US could sabotage global climate goals,"The results of the US presidential election will have consequences for the whole world. A new UN report on national climate plans pleads, “No more hot air … please!”"
"Netflix used to not have ads, now it’s ‘celebrating’ two years with them",Netflix’s ad-supported tier has hit 70 million monthly users since its launch in 2022. The service says the ads plan accounted for 50 percent of all new signups in countries where it’s supported.
Apple is buying 20 percent of its iPhone satellite services partner,Apple is prepaying satellite provider GlobalStar $1.1 billion to expand service for its iPhone Emergency SOS feature.
Universal Music partners with AI company building an ‘ethical’ music generator,"UMG cut a deal with Klay Music, a company building a new foundational AI model for music generation that it says will be “respectful of copyright.”"
Departing OpenAI leader says no company is ready for AGI,"Miles Brundage, a departing OpenAI policy leader, wrote that the company is winding down its “AGI readiness” team."
The grievance-driven blueprint for the next Trump administration,The Heritage Foundation’s Project 2025 is a blueprint for taking revenge on Big Tech and remaking America’s technological landscape under Donald Trump.
Trump redraws the US’s political map,"Democratic candidate Kamala Harris has called the president-elect to concede. Trump surged among Latino and young male voters relative to his 2020 performance. We hear from voters in the Midwestern battleground state of Wisconsin. 

Also on the programme: we …"
Air taxis and other electric-powered aircraft cleared for takeoff with final FAA rules,"The Federal Aviation Administration released final rules for the creation of a new category of “powered lift” aircraft, including air taxis."
Israel targets Hezbollah’s finances,"Israel has carried out air strikes targeting branches of a financial association linked with Hezbollah in the southern suburbs of Lebanon’s capital Beirut, as well as the south and east of the country. Also on the programme, how the US election is being view …"
Climate talks open in shadow of Trump victory,"The UN climate summit is opening in Azerbaijan with 2024 set to be the first year to breach the 1.5C global warming limit. 

But could President-elect Donald Trump's energy policies undermine the goal of reducing carbon dioxide (CO2) emissions? 

Also on the …"
"Mozilla is eliminating its advocacy division, which fought for a free and open web","The Mozilla Foundation, which fights for a free and open web, laid off 30 percent of its workforce in late October."
Over sixty people dead after flash floods in Spain,The Spanish authorities say that flash flooding has killed at least sixty-two people and left dozens unaccounted for in Valencia. Some parts of the region have been inundated by a year's worth of rain in just 8 hours. Footage shows people clinging to trees as…
Does COP29 matter after Trump victory?,More than a hundred heads of state and government are gathering in Azerbaijan for the UN's annual climate summit - known as COP 29. 2024 is predicted to be the warmest year on record. But will previous commitments to limit global temperature rises to 1.5 cels…
Monster Hunter is getting an open-world RPG spinoff for mobile,Capcom is partnering with the developer behind Pokémon Unite and Call of Duty: Mobile for a smartphone spinoff called Monster Hunter Outlanders.
TikTok plugs Getty Images into its AI-generated ads and avatars,TikTok will let advertisers use videos and pictures from Getty Images when creating ads with its AI video generation tool.
"Trying to reverse climate change won’t save us, scientists warn","Can tech companies reverse climate change by sucking carbon dioxide out of the atmosphere? It would come at a cost, new research shows."
Microsoft and OpenAI are giving news outlets $10 million to use AI tools,Microsoft and OpenAI are offering news outlets like The Seattle Times and The Minnesota Star Tribune up to $10 million to experiment with and use AI tools.
"Countries are ramping up renewable energy plans, but not fast enough","Countries around the world pledged to triple renewable energy capacity by 2030. A year after that pivotal commitment, a new report shows how much progress has been made."
